faceID,file,graphic,person,situation,bg,shotangle,ID,facecounter,detect,obscured,lighting,headangle,glasses,visorhat,type,time.user.self,time.sys.self,time.elapsed,minX,maxX,minY,maxY,boxID,matchesManual,size,year,court,round,player1,country1,player2,country2,matchDraw,duplicates
1,2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0001.png,0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,BJovanovski,SRB,ACornet,FRA,WS163,FALSE
2,2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0002.png,0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,BJovanovski,SRB,ACornet,FRA,WS163,FALSE
3,2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0003.png,0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Google,0.08,0,2.609,364,426,49,121,1,FALSE,4464,2016,CT6,R01,BJovanovski,SRB,ACornet,FRA,WS163,FALSE
4,2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0004.png,0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,BJovanovski,SRB,ACornet,FRA,WS163,FALSE
5,2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0005.png,0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,BJovanovski,SRB,ACornet,FRA,WS163,FALSE
6,2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0006.png,0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,BJovanovski,SRB,ACornet,FRA,WS163,FALSE
7,2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0007.png,0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,BJovanovski,SRB,ACornet,FRA,WS163,FALSE
8,2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0008.png,0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,BJovanovski,SRB,ACornet,FRA,WS163,FALSE
9,2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0009.png,0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,BJovanovski,SRB,ACornet,FRA,WS163,FALSE
10,2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0010.png,0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Google,0.112,0.004,2.594,370,419,32,88,1,FALSE,2744,2016,CT6,R01,BJovanovski,SRB,ACornet,FRA,WS163,FALSE
11,2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0011.png,0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Google,0.068,0,2.789,344,390,36,90,1,FALSE,2484,2016,CT6,R01,BJovanovski,SRB,ACornet,FRA,WS163,FALSE
12,2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0012.png,0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,BJovanovski,SRB,ACornet,FRA,WS163,FALSE
13,2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0013.png,0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,BJovanovski,SRB,ACornet,FRA,WS163,FALSE
14,2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0014.png,0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,BJovanovski,SRB,ACornet,FRA,WS163,FALSE
15,2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0015.png,0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,BJovanovski,SRB,ACornet,FRA,WS163,FALSE
16,2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0016.png,0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,BJovanovski,SRB,ACornet,FRA,WS163,FALSE
17,2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0017.png,0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,BJovanovski,SRB,ACornet,FRA,WS163,FALSE
18,2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0018.png,0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,BJovanovski,SRB,ACornet,FRA,WS163,FALSE
19,2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0019.png,0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,Animetrics,0.16,0,4.72,26,95,170,239,1,FALSE,4761,2016,CT6,R01,BJovanovski,SRB,ACornet,FRA,WS163,FALSE
20,2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0020.png,0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,BJovanovski,SRB,ACornet,FRA,WS163,FALSE
21,2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0021.png,0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,BJovanovski,SRB,ACornet,FRA,WS163,FALSE
22,2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0022.png,0,1,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,CT6,R01,BJovanovski,SRB,ACornet,FRA,WS163,FALSE
