file,FaceID,minX,maxX,minY,maxY,player1,player2,graphic,person,situation,bg,shotangle,boxID,detect,obscured,lighting,headangle,glasses,visorhat,type,FileName,PlayerNumber
2016_CT8_R02_FDelbonis_ARG_vs_ROlivo_ARG_MS203_clip.0014.png,353-1-Go,271,337,116,192,FDelbonis,ROlivo,Live image,Person,Court in play,Logo wall,Player Shoulder Height,1,Player,No,Partially shaded,Other,No,No,Google,face-353-1-Go.png,1
2016_CT8_R02_FDelbonis_ARG_vs_ROlivo_ARG_MS203_clip.0022.png,354-1-Go,414,483,32,112,FDelbonis,ROlivo,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,1,Player,No,Partially shaded,Front on,No,No,Google,face-354-1-Go.png,1
2016_CT8_R02_FDelbonis_ARG_vs_ROlivo_ARG_MS203_clip.0025.png,357-1-Go,436,498,45,116,FDelbonis,ROlivo,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,1,Player,No,Partially shaded,Other,No,No,Google,face-357-1-Go.png,1
2016_CT8_R02_FDelbonis_ARG_vs_ROlivo_ARG_MS203_clip.0033.png,359-1-Go,370,450,31,124,FDelbonis,ROlivo,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,1,Player,No,Partially shaded,Other,No,No,Google,face-359-1-Go.png,1
2016_CT8_R02_FDelbonis_ARG_vs_ROlivo_ARG_MS203_clip.0037.png,363-1-Go,334,408,56,142,FDelbonis,ROlivo,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,1,Player,No,Shaded,Profile,No,No,Google,face-363-1-Go.png,1
2016_CT8_R02_FDelbonis_ARG_vs_ROlivo_ARG_MS203_clip.0038.png,364-1-Go,312,389,47,137,FDelbonis,ROlivo,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,1,Player,No,Shaded,Profile,No,No,Google,face-364-1-Go.png,1
2016_CT8_R02_FDelbonis_ARG_vs_ROlivo_ARG_MS203_clip.0044.png,365-1-Go,407,476,31,111,FDelbonis,ROlivo,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,1,Player,No,Partially shaded,Other,No,No,Google,face-365-1-Go.png,1
2016_CT8_R02_FDelbonis_ARG_vs_ROlivo_ARG_MS203_clip.0045.png,366-1-Go,307,383,7,94,FDelbonis,ROlivo,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,1,Player,No,Partially shaded,Other,No,No,Google,face-366-1-Go.png,1
2016_CT8_R02_FDelbonis_ARG_vs_ROlivo_ARG_MS203_clip.0046.png,367-1-Go,340,414,28,114,FDelbonis,ROlivo,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,1,Player,No,Partially shaded,Other,No,No,Google,face-367-1-Go.png,1
2016_CT8_R02_GGarcia-Lopez_ESP_vs_DBrands_GER_MS207_clip.0002.png,369-1-Go,434,501,61,139,GGarcia-Lopez,DBrands,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,1,Player,No,Partially shaded,Other,No,No,Google,face-369-1-Go.png,1
2016_HSA_R01_PKohlschreiber_GER_vs_KNishikori_JPN_MS116_clip.0052.png,529-2-Go,406,506,54,170,PKohlschreiber,KNishikori,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,2,Player,Yes,Partially shaded,Profile,No,No,Google,face-529-2-Go.png,1
2016_HSA_R01_PKohlschreiber_GER_vs_KNishikori_JPN_MS116_clip.0058.png,534-1-Go,343,542,143,374,PKohlschreiber,KNishikori,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,1,Player,No,Partially shaded,Other,No,No,Google,face-534-1-Go.png,1
2016_HSA_R02_MBasic_BIH_vs_TBerdych_CZE_MS216_clip.0005.png,701-1-Go,395,449,52,114,MBasic,TBerdych,Live image,Person,Court player close-up,Crowd,Player Shoulder Height,1,Player,Yes,Shaded,Profile,No,No,Google,face-701-1-Go.png,1
2016_HSA_R02_MBasic_BIH_vs_TBerdych_CZE_MS216_clip.0009.png,703-3-Go,299,418,38,177,MBasic,TBerdych,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,3,Player,No,Partially shaded,Profile,No,No,Google,face-703-3-Go.png,1
2016_HSA_R02_MBasic_BIH_vs_TBerdych_CZE_MS216_clip.0010.png,704-1-Go,342,463,27,168,MBasic,TBerdych,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,1,Player,No,Shaded,Profile,No,No,Google,face-704-1-Go.png,1
2016_HSA_R03_AFriedsam_GER_vs_RVinci_ITA_WS306_clip.0010.png,772-2-Go,373,467,62,171,AFriedsam,RVinci,Live image,Person,Court in play,Logo wall,Player Shoulder Height,2,Player,No,Partially shaded,Other,No,No,Google,face-772-2-Go.png,1
2016_HSA_R03_AFriedsam_GER_vs_RVinci_ITA_WS306_clip.0015.png,773-1-Go,333,407,63,149,AFriedsam,RVinci,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,1,Player,No,Partially shaded,Profile,No,No,Google,face-773-1-Go.png,1
2016_HSA_R03_AFriedsam_GER_vs_RVinci_ITA_WS306_clip.0017.png,774-2-Go,354,434,65,158,AFriedsam,RVinci,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,2,Player,No,Shaded,Profile,No,No,Google,face-774-2-Go.png,1
2016_HSA_R03_FDelbonis_ARG_vs_GSimon_FRA_MS302_clip.0090.png,852-1-Go,314,366,48,108,FDelbonis,GSimon,Live image,Person,Court in play,Logo wall,Player Shoulder Height,1,Player,No,Partially shaded,Profile,No,No,Google,face-852-1-Go.png,1
2016_HSA_R04_ARadwanska_POL_vs_AFriedsam_GER_WS403_clip.0002.png,899-1-Go,409,460,47,106,ARadwanska,AFriedsam,Live image,Person,Court in play,Logo wall,Player Shoulder Height,1,Player,No,Partially shaded,Profile,No,Yes,Google,face-899-1-Go.png,1
2016_HSA_R04_ARadwanska_POL_vs_AFriedsam_GER_WS403_clip.0003.png,900-3-Go,301,444,26,191,ARadwanska,AFriedsam,Live image,Person,Court player close-up,Court,Birds Eye,3,Player,No,Partially shaded,Other,No,Yes,Google,face-900-3-Go.png,1
2016_HSA_R04_ARadwanska_POL_vs_AFriedsam_GER_WS403_clip.0011.png,906-1-Go,372,572,10,242,ARadwanska,AFriedsam,Live image,Person,Court player close-up,Court,Birds Eye,1,Player,No,Partially shaded,Other,No,Yes,Google,face-906-1-Go.png,1
2016_HSA_R04_ARadwanska_POL_vs_AFriedsam_GER_WS403_clip.0021.png,914-1-Go,402,473,87,170,ARadwanska,AFriedsam,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,1,Player,No,Partially shaded,Other,No,Yes,Google,face-914-1-Go.png,1
2016_HSA_R04_ARadwanska_POL_vs_AFriedsam_GER_WS403_clip.0029.png,917-1-Go,362,536,71,274,ARadwanska,AFriedsam,Live image,Person,Court player close-up,Court,Birds Eye,1,Player,Yes,Partially shaded,Other,No,Yes,Google,face-917-1-Go.png,1
2016_HSA_R04_ARadwanska_POL_vs_AFriedsam_GER_WS403_clip.0031.png,919-1-Go,338,439,84,202,ARadwanska,AFriedsam,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,1,Player,No,Partially shaded,Other,No,Yes,Google,face-919-1-Go.png,1
2016_HSA_R04_ARadwanska_POL_vs_AFriedsam_GER_WS403_clip.0032.png,920-1-Go,196,266,97,178,ARadwanska,AFriedsam,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,1,Player,Yes,Partially shaded,Other,No,Yes,Google,face-920-1-Go.png,1
2016_HSA_R04_ARadwanska_POL_vs_AFriedsam_GER_WS403_clip.0033.png,921-1-Go,441,542,34,152,ARadwanska,AFriedsam,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,1,Player,No,Shaded,Front on,No,Yes,Google,face-921-1-Go.png,1
2016_HSA_R04_ARadwanska_POL_vs_AFriedsam_GER_WS403_clip.0034.png,922-4-Go,451,565,44,175,ARadwanska,AFriedsam,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,4,Player,Yes,Shaded,Front on,No,Yes,Google,face-922-4-Go.png,1
2016_HSA_R04_ARadwanska_POL_vs_AFriedsam_GER_WS403_clip.0038.png,924-1-Go,417,506,37,140,ARadwanska,AFriedsam,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,1,Player,No,Partially shaded,Front on,No,Yes,Google,face-924-1-Go.png,1
2016_HSA_R04_ARadwanska_POL_vs_AFriedsam_GER_WS403_clip.0054.png,928-2-Go,400,471,70,153,ARadwanska,AFriedsam,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,2,Player,Yes,Partially shaded,Profile,No,Yes,Google,face-928-2-Go.png,1
2016_HSA_R04_ARadwanska_POL_vs_AFriedsam_GER_WS403_clip.0057.png,931-6-Go,386,461,51,138,ARadwanska,AFriedsam,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,6,Player,No,Partially shaded,Other,No,Yes,Google,face-931-6-Go.png,1
2016_HSA_R04_ARadwanska_POL_vs_AFriedsam_GER_WS403_clip.0058.png,932-1-Go,323,401,43,134,ARadwanska,AFriedsam,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,1,Player,Yes,Partially shaded,Other,No,Yes,Google,face-932-1-Go.png,1
2016_HSA_R04_JTsonga_FRA_vs_KNishikori_JPN_MS402_clip.0007.png,957-2-Go,341,393,23,83,JTsonga,KNishikori,Live image,Person,Court in play,Logo wall,Player Shoulder Height,2,Player,No,Partially shaded,Other,No,No,Google,face-957-2-Go.png,1
2016_HSA_R04_JTsonga_FRA_vs_KNishikori_JPN_MS402_clip.0008.png,958-1-Go,349,401,69,130,JTsonga,KNishikori,Live image,Person,Court in play,Logo wall,Player Shoulder Height,1,Player,No,Partially shaded,Other,No,No,Google,face-958-1-Go.png,1
2016_HSA_R04_JTsonga_FRA_vs_KNishikori_JPN_MS402_clip.0014.png,962-1-Go,330,423,107,215,JTsonga,KNishikori,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,1,Player,No,Partially shaded,Front on,No,No,Google,face-962-1-Go.png,1
2016_HSA_R04_JTsonga_FRA_vs_KNishikori_JPN_MS402_clip.0034.png,970-1-Go,407,458,28,88,JTsonga,KNishikori,Live image,Person,Court in play,Crowd,Player Shoulder Height,1,Player,Yes,Partially shaded,Front on,No,No,Google,face-970-1-Go.png,1
2016_HSA_R04_JTsonga_FRA_vs_KNishikori_JPN_MS402_clip.0035.png,971-1-Go,399,448,37,95,JTsonga,KNishikori,Live image,Person,Court in play,Logo wall,Player Shoulder Height,1,Player,Yes,Partially shaded,Other,No,No,Google,face-971-1-Go.png,1
2016_HSA_R04_JTsonga_FRA_vs_KNishikori_JPN_MS402_clip.0050.png,982-1-Go,377,495,69,206,JTsonga,KNishikori,Live image,Person,Court player close-up,Court,Birds Eye,1,Player,No,Partially shaded,Other,No,No,Google,face-982-1-Go.png,1
2016_HSA_R04_JTsonga_FRA_vs_KNishikori_JPN_MS402_clip.0056.png,985-1-Go,317,423,80,203,JTsonga,KNishikori,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,1,Player,Yes,Partially shaded,Other,No,No,Google,face-985-1-Go.png,1
2016_HSA_R04_JTsonga_FRA_vs_KNishikori_JPN_MS402_clip.0057.png,986-1-Go,400,524,94,238,JTsonga,KNishikori,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,1,Player,No,Partially shaded,Other,No,No,Google,face-986-1-Go.png,1
2016_MCA_R01_JTsonga_FRA_vs_MBaghdatis_CYP_MS109_clip.0003.png,1043-1-Go,349,506,81,264,JTsonga,MBaghdatis,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,1,Player,No,Partially shaded,Other,No,No,Google,face-1043-1-Go.png,1
2016_MCA_R01_JTsonga_FRA_vs_MBaghdatis_CYP_MS109_clip.0004.png,1044-1-Go,374,537,124,314,JTsonga,MBaghdatis,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,1,Player,No,Partially shaded,Other,No,No,Google,face-1044-1-Go.png,1
2016_MCA_R01_JTsonga_FRA_vs_MBaghdatis_CYP_MS109_clip.0028.png,1051-1-Go,521,572,29,87,JTsonga,MBaghdatis,Live image,Person,Court in play,Logo wall,Player Shoulder Height,1,Player,Yes,Partially shaded,Profile,No,No,Google,face-1051-1-Go.png,1
2016_MCA_R01_JTsonga_FRA_vs_MBaghdatis_CYP_MS109_clip.0029.png,1052-1-Go,341,393,23,82,JTsonga,MBaghdatis,Live image,Person,Court in play,Logo wall,Player Shoulder Height,1,Player,Yes,Partially shaded,Other,No,No,Google,face-1052-1-Go.png,1
2016_MCA_R01_JTsonga_FRA_vs_MBaghdatis_CYP_MS109_clip.0037.png,1053-1-Go,323,424,55,172,JTsonga,MBaghdatis,Live image,Person,Court player close-up,Court,Birds Eye,1,Player,No,Partially shaded,Other,No,No,Google,face-1053-1-Go.png,1
2016_MCA_R01_JTsonga_FRA_vs_MBaghdatis_CYP_MS109_clip.0046.png,1056-4-Go,341,522,42,252,JTsonga,MBaghdatis,Live image,Person,Court player close-up,Court,Birds Eye,4,Player,No,Partially shaded,Profile,No,No,Google,face-1056-4-Go.png,1
2016_MCA_R01_JTsonga_FRA_vs_MBaghdatis_CYP_MS109_clip.0052.png,1058-1-Go,297,411,132,265,JTsonga,MBaghdatis,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,1,Player,Yes,Partially shaded,Other,No,No,Google,face-1058-1-Go.png,1
2016_MCA_R01_JTsonga_FRA_vs_MBaghdatis_CYP_MS109_clip.0057.png,1059-3-Go,380,612,51,321,JTsonga,MBaghdatis,Live image,Person,Court player close-up,Court,Birds Eye,3,Player,No,Partially shaded,Other,No,No,Google,face-1059-3-Go.png,1
2016_MCA_R01_JTsonga_FRA_vs_MBaghdatis_CYP_MS109_clip.0061.png,1060-1-Go,287,336,43,99,JTsonga,MBaghdatis,Live image,Person,Court in play,Logo wall,Player Shoulder Height,1,Player,Yes,Partially shaded,Other,No,No,Google,face-1060-1-Go.png,1
2016_MCA_R01_JTsonga_FRA_vs_MBaghdatis_CYP_MS109_clip.0062.png,1061-2-Go,270,321,26,85,JTsonga,MBaghdatis,Live image,Person,Court in play,Logo wall,Player Shoulder Height,2,Player,Yes,Partially shaded,Other,No,No,Google,face-1061-2-Go.png,1
2016_MCA_R02_CSurezNavarro_ESP_vs_MSakkari_GRE_WS213_clip.0021.png,1105-1-Go,381,432,40,99,CSurezNavarro,MSakkari,Live image,Person,Court in play,Logo wall,Player Shoulder Height,1,Player,Yes,Partially shaded,Profile,No,No,Google,face-1105-1-Go.png,1
2016_MCA_R02_CSurezNavarro_ESP_vs_MSakkari_GRE_WS213_clip.0022.png,1106-2-Go,407,463,28,93,CSurezNavarro,MSakkari,Live image,Person,Court in play,Logo wall,Player Shoulder Height,2,Player,Yes,Shaded,Other,No,No,Google,face-1106-2-Go.png,1
2016_MCA_R02_CSurezNavarro_ESP_vs_MSakkari_GRE_WS213_clip.0023.png,1107-1-Go,295,361,22,98,CSurezNavarro,MSakkari,Live image,Person,Court in play,Logo wall,Player Shoulder Height,1,Player,Yes,Shaded,Other,No,No,Google,face-1107-1-Go.png,1
2016_MCA_R02_CSurezNavarro_ESP_vs_MSakkari_GRE_WS213_clip.0024.png,1108-2-Go,291,414,66,208,CSurezNavarro,MSakkari,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,2,Player,Yes,Shaded,Profile,No,No,Google,face-1108-2-Go.png,1
2016_MCA_R02_CSurezNavarro_ESP_vs_MSakkari_GRE_WS213_clip.0030.png,1111-2-Go,274,415,33,197,CSurezNavarro,MSakkari,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,2,Player,No,Partially shaded,Other,No,No,Google,face-1111-2-Go.png,1
2016_MCA_R02_CSurezNavarro_ESP_vs_MSakkari_GRE_WS213_clip.0031.png,1112-1-Go,174,367,12,236,CSurezNavarro,MSakkari,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,1,Player,Yes,Shaded,Front on,No,No,Google,face-1112-1-Go.png,1
2016_MCA_R02_CSurezNavarro_ESP_vs_MSakkari_GRE_WS213_clip.0034.png,1115-1-Go,161,388,39,303,CSurezNavarro,MSakkari,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,1,Player,Yes,Partially shaded,Other,No,No,Google,face-1115-1-Go.png,1
2016_MCA_R02_CSurezNavarro_ESP_vs_MSakkari_GRE_WS213_clip.0035.png,1116-1-Go,105,379,49,368,CSurezNavarro,MSakkari,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,1,Player,Yes,Partially shaded,Other,No,No,Google,face-1116-1-Go.png,1
2016_MCA_R02_CSurezNavarro_ESP_vs_MSakkari_GRE_WS213_clip.0066.png,1124-1-Go,320,399,82,174,CSurezNavarro,MSakkari,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,1,Player,Yes,Partially shaded,Profile,No,No,Google,face-1124-1-Go.png,1
2016_MCA_R02_CSurezNavarro_ESP_vs_MSakkari_GRE_WS213_clip.0071.png,1127-1-Go,399,527,69,217,CSurezNavarro,MSakkari,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,1,Player,Yes,Shaded,Other,No,No,Google,face-1127-1-Go.png,1
2016_MCA_R02_CSurezNavarro_ESP_vs_MSakkari_GRE_WS213_clip.0072.png,1128-1-Go,183,385,73,308,CSurezNavarro,MSakkari,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,1,Player,Yes,Partially shaded,Other,No,No,Google,face-1128-1-Go.png,1
2016_MCA_R02_CSurezNavarro_ESP_vs_MSakkari_GRE_WS213_clip.0114.png,1147-2-Go,240,385,82,252,CSurezNavarro,MSakkari,Live image,Person,Court player close-up,Logo wall,Player Shoulder Height,2,Player,No,Partially shaded,Other,No,No,Google,face-1147-2-Go.png,1
