aname,face.value,face.confidence,mood.value,mood.confidence,neutral_mood.value,neutral_mood.confidence,anger.value,anger.confidence,disgust.value,disgust.confidence,fear.value,fear.confidence,happiness.value,happiness.confidence,sadness.value,sadness.confidence,surprise.value,surprise.confidence
face-1646-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1645-2-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1416-1-Go.png,TRUE,71,surprised,96,FALSE,0,TRUE,64,TRUE,81,FALSE,0,FALSE,0,FALSE,0,TRUE,96
face-1415-1-Go.png,TRUE,59,surprised,80,FALSE,0,FALSE,49,TRUE,57,FALSE,0,FALSE,0,FALSE,12,TRUE,80
face-1414-1-Go.png,TRUE,67,neutral,86,TRUE,86,TRUE,62,FALSE,0,FALSE,0,FALSE,0,FALSE,42,TRUE,63
face-1774-1-Go.png,TRUE,50,angry,50,FALSE,0,TRUE,50,FALSE,13,FALSE,13,FALSE,10,FALSE,26,FALSE,42
face-1771-2-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1410-1-Go.png,TRUE,68,sad,75,FALSE,0,FALSE,6,TRUE,56,FALSE,48,FALSE,0,TRUE,75,FALSE,38
face-1413-1-Go.png,TRUE,68,angry,79,FALSE,45,TRUE,79,FALSE,22,FALSE,0,FALSE,0,TRUE,68,TRUE,71
face-1766-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1764-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1762-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1760-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1761-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1757-2-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
