"file","mid","description","score","boundingPoly.x1","boundingPoly.x2","boundingPoly.x3","boundingPoly.x4","boundingPoly.y1","boundingPoly.y2","boundingPoly.y3","boundingPoly.y4"
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0001.png","/m/011_65","Emirates",0.36167631,15,162,162,15,94,94,134,134
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0001.png","/m/0115r5c2","Australian Open Tennis Tournament",0.35128844,691,738,738,691,230,230,294,294
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0001.png","/m/032dk1","ANZ",0.14728843,34,100,100,34,235,235,278,278
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0001.png","/m/03s14w","ANZ",0.14657044,439,533,533,439,243,243,292,292
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0002.png","/m/03s14w","ANZ",0.32278991,442,551,551,442,227,227,285,285
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0002.png","/m/011_65","Emirates",0.31436652,70,182,182,70,113,113,150,150
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0002.png","/m/0z6tbx_","Australian Open Tennis Tournament",0.24018863,51,763,763,51,69,69,305,305
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0003.png","/m/0115r5c2","Australian Open Tennis Tournament",0.3308627,707,759,759,707,217,217,278,278
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0003.png","/m/03s14w","ANZ",0.29754546,432,556,556,432,228,228,277,277
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0004.png","/m/0p58j","Australian Open Tennis Tournament",0.32845312,56,729,729,56,69,69,247,247
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0005.png",NA,"ANZ",0.17392415,558,587,587,558,36,36,55,55
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0006.png","/m/0p58j","Australian Open Tennis Tournament",0.43881437,37,96,96,37,51,51,143,143
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0007.png","/m/0p58j","Australian Open Tennis Tournament",0.2894747,678,727,727,678,225,225,292,292
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0007.png","/m/06dqvy","Jacobs Creek",0.23957583,26,462,462,26,215,215,261,261
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0008.png","/m/0p58j","Australian Open Tennis Tournament",0.38457569,41,93,93,41,48,48,144,144
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0009.png","/m/0p58j","Australian Open Tennis Tournament",0.36809316,37,763,763,37,69,69,334,334
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0010.png","/m/0p58j","Australian Open Tennis Tournament",0.42363784,41,599,599,41,69,69,318,318
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0011.png","/m/0z6tbx_","Australian Open Tennis Tournament",0.36108369,188,243,243,188,218,218,280,280
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0012.png","/m/0115r5c2","Australian Open Tennis Tournament",0.28969428,32,87,87,32,217,217,282,282
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0012.png","/m/01_1kk","Paris Saint-Germain F.C.",0.24960604,649,696,696,649,201,201,238,238
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0013.png","/m/0p58j","Australian Open Tennis Tournament",0.40934128,30,100,100,30,206,206,279,279
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0013.png","/m/0by16yq","Square, Inc.",0.27927822,259,321,321,259,199,199,254,254
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0013.png","/m/011_65","Emirates",0.2322913,621,683,683,621,208,208,230,230
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0014.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0015.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0016.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0017.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0018.png","/m/0p58j","Australian Open Tennis Tournament",0.38343111,41,109,109,41,50,50,140,140
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0019.png",NA,"Australian Open Tennis Tournament",0.25539717,31,109,109,31,44,44,142,142
