"file","graphic","person","situation","bg","shotangle","boxID","ID","facecounter","detect","obscured","lighting","headangle","glasses","visorhat","type","time.user.self","time.sys.self","time.elapsed","minX","maxX","minY","maxY","matchesManual","size","year","court","round","player1","country1","player2","country2","matchDraw","duplicates"
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0001.png","Live image","Person","Court in play","Logo wall","Player Shoulder Height",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0002.png","Live image","Person","Court in play","Logo wall","Player Shoulder Height",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0003.png","Live image","Person","Court in play","Logo wall","Player Shoulder Height",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0004.png","Live image","Person","Court in play","Logo wall","Player Shoulder Height",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0005.png","Live image","Person","Court in play","Logo wall","Birds Eye",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0006.png","Live image","Person","Court in play","Logo wall","Player Shoulder Height",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0007.png","Live image","Person","Court in play","Logo wall","Player Shoulder Height",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0008.png","Live image","Person","Court in play","Logo wall","Player Shoulder Height",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0009.png","Live image","Person","Court in play","Logo wall","Player Shoulder Height",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0010.png","Live image","Person","Court in play","Logo wall","Player Shoulder Height",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0011.png","Live image","Person","Court in play","Logo wall","Player Shoulder Height",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0012.png","Live image","Person","Court in play","Logo wall","Player Shoulder Height",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0013.png","Live image","Person","Court in play","Logo wall","Player Shoulder Height",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0014.png","Live image","Person","Court in play","Logo wall","Birds Eye",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0015.png","Live image","Person","Court in play","Logo wall","Birds Eye",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0016.png","Live image","Person","Court in play","Logo wall","Birds Eye",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0017.png","Live image","Person","Court in play","Logo wall","Birds Eye",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0018.png","Live image","Person","Court in play","Logo wall","Player Shoulder Height",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0019.png","Live image","Person","Court in play","Logo wall","Player Shoulder Height",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0020.png","Live image","Person","Court in play","Logo wall","Birds Eye",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0021.png","Live image","Person","Court in play","Logo wall","Player Shoulder Height",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
"2016_CT6_R01_BJovanovski_SRB_vs_ACornet_FRA_WS163_clip.0022.png","Live image","Person","Court in play","Logo wall","Birds Eye",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"CT6","R01","BJovanovski","SRB","ACornet","FRA","WS163",FALSE
